阅读日期,文献标题,关键词,摘要,期刊,年份,要点总结,0-5,subject1-特征点识别算法,情绪,Posture
2018/9/12,一种连续无创血压监测头带的研究,便携式;脉搏波延迟法;脉搏波的传导时间(PWTT);无创连续测血压,"目前大多数无创血压测量采用的是袖带示波测量法,仪器携带不方便;通过气泵对袖带进行充放气,测量周期长,不能够对人体血压进行连续地测量,考虑研制穿戴式血压测量头带,对人体血压进行无创连续测量。采用高分辨率心电采集芯片ADS1292R采集头部微弱心电信号(electrocardiogram,ECG),同时使用反射式光电传感器在眉骨处采集时间上严格同步的光电容积脉搏波信号(photoplethysmography,PPG)。分别定位ECG和PPG的特征点,计算PPG信号传播延迟(pulsewavetransittime,PWTT),并和同一时刻血压值进行相关性分析以及回归分析,建立血压测量模型,即可根据PWTT求得血压。对试验者进行实验表明,采用该便携式无创血压检测装置与传统无创血压测量法对比,误差维持在5%以内。该检测头带信号采集均在头部完成,穿戴方便,功耗低,舒适性强,是一种可行的便携无创连续血压监测装置;同时可将检测结果通过蓝牙实时传至用户手机或PDA装置显示并存储,完成长时间动态血压监护。",重庆邮电大学学报(自然科学版)JournalofChongqingUniversityofPostsandTelecommunications(NaturalScienceEdition),2015,该文利用脉搏传导时间设计头带式连续血压监测，监测信号有：头部微弱心电信号和眉骨脉搏波信号；其软硬件设计介绍地比较详细,4,,,
,穿戴式人体生理参数监测系统的研究与实现,"穿戴监测,生理参数,脉搏波,血压测量,监测软件","通过对心电、血压、血氧饱和度、体温及心率等生理参数的监测可以实现心血管疾病的早期诊断和预防。由于心脏疾病具有间歇性发作的特点,对其进行准确诊断需要以长时间的动态监测数据作为依据。当前动态心电监护系统(Holter)所使用的粘性心电电极中的导电胶含有盐类成分,除了可能引发过敏性皮炎外,在长时间使用过程中,还会出现脱水干化,造成电极与皮肤之间的接触阻抗发生变化,导致信号灵敏度和信。。。",吉林大学博士学位论文,2012,提出的对异常脉搏波的处理识别算法，欧式距离和脉搏波传到时间变化率、脉搏波波形系数变化率结合计算得到脉搏波特征联合系数AFP，运用曲线拟合的方法找到脉搏波传导速度与血压之间的关联，从而通过PWV计算血压等；2018/10/10二刷感想：该文包含心电异常波检测算法的介绍、脉搏波异常信号的检测算法，以及心电信号结合脉搏波信号的应用，比如，利用两路信号计算出一个脉搏波传导时间，并利用公式推导出收缩压与脉搏波传导时间的线性关系，值得借鉴,5,,,
2018/9/13,,,,,,,,,,
2018/9/14,基于心电信号的疲劳驾驶研究,"疲劳驾驶,心电信号,信号采集,频谱细化,支持向量机","本文的研究从缩短心电信号采集长度的角度,改善了基于心电信号的疲劳驾驶检测方法的实时性问题,为驾驶员疲劳状态实时检测提供了有效的理论支持,同时还有利于推进疲劳驾驶检测向实车应用发展。",重庆大学硕士学位论文,2017,从背景到，心电信号的特征的生理含义，到预处理算法介绍，实验采集数据的方案设计、再到分类器的介绍与实施，每一步都很详细，值得借鉴,5,,,
2018/9/15,,,,,,,,,,
2018/9/19,,,,,,,,,,
2018/9/20,基于多特征参数综合分析脉搏波信号失真度算法的实现,信息处理技术;脉搏波;心电图;脉搏波联合特征系数,"在利用脉搏波信号计算生命体征时,为检测并排除严重失真的脉搏波信号,综合利用欧氏距离、脉搏波传导时间以及脉搏波波形系数,提出一个用于判断脉搏波失真度的参数———脉搏波联合特征系数。其中在计算欧氏距离的过程中,利用心电信号R波对PPG信号进行多段分割,对每小段进行时间轴归一化处理以抑制欧氏距离对时间轴伸缩的敏感度。通过分析实测脉搏波信号,验证了本文算法能准确识别失真波形。",吉林大学学报(工学版)JournalofJilinUniversity(EngineeringandTechnologyEdition),2012,利用欧氏距离、脉搏波传导时间以及脉搏波波形系数计算出脉搏波联合特征系数，利用这个系数识别实际测量的脉搏波的异常波形，m较大时，对低频漂移较敏感；m较小时候，对手指活动导致的漏光干扰敏感高，算法同上吉林大学博士学位论文,5,,,
,基于动态差分阈值的脉搏信号峰值检测算法,信息处理技术;脉搏信号;幅度阈值;干扰段检测;动态差分阈值,"针对传统幅度阈值法在脉搏信号峰值检测中所存在的问题,同时为了避免脉搏信号中的干扰段对信号分析所带来的风险,提出了基于动态阈值的脉搏信号峰值检测方法。采用动态差分阈值提取脉搏信号峰值,并在其提取过程中依据阈值适时应用符号化信号近似匹配的方法检测脉搏信号干扰段。通过对视觉疲劳试验过程中采集的脉搏信号进行分析,结果表明:该方法能够准确地提取脉搏主波位置和脉搏峰值,效果明显优于传统幅度阈值法。",吉林大学学报(工学版)JournalofJilinUniversity(EngineeringandTechnologyEdition),2014,提出动态差分阈值提取脉搏波主波波峰的方法，过程大概是：首先设定初始阈值，利用时间序列符号化的算法对目标波形进行异常波检测，通过后分成五段，每一段的一阶差分最大值的平均值作为初始阈值，幅值最大值平均值作为初始幅值上下阈值；然后遍历一阶差分，满足差分阈值的地方开始寻找过零点，对过零点处的点幅值阈值判断，满足上下阈值的视为主波波峰；其次还要更新阈值。最后用实际测得的数据进行验证，准确率达99。另外，该文详细介绍了时间序列符号化检测波形异常的算法,5,,,
,基于波形时域特征和动态差分阈值的脉搏波传导时间检测算法,心电图;光电容积脉搏波;脉搏波传导时间;动态差分阈值;波形时域特征,"针对传统脉搏波传导时间(PTT)检测方法对脉搏波(PPG)信号幅值变化敏感、计算量大等问题,提出了一种综合波形时域特征和动态差分阈值的PTT检测算法。采用动态差分阈值检测心电(ECG)信号R波,根据波形时域特征缩短脉搏波信号主波检测区间,利用R波检测脉搏波信号主波,从而计算PTT。利用美国麻省理工学院MIMIC数据库和实验室实测数据对上述算法进行验证。结果表明,该方法能够准确地提取特征点并检测出PTT,对实测和数据库样本的PTT检测准确率分别为99.1%和97.5%,效果优于传统检测方法。",生物医学工程学杂志,2017,该文提出WTDDD检测脉搏波G点的方法，即先识别出R波波峰，再在R波波峰后一定时间范围内检测G点，大大缩短了计算量和提高的检出正确率，并且保证了ptt计算的准确性（R-G成对）；另外，R波峰的检测采用动态差分阈值的方法，同上一篇；在确定G点与R点位置关系时，采集了正常人的脉搏波数据进行手动和小波方法标定；最后，用信号质量非常差的信号进行检验，可以看出，检出率非常高,5,,,
2018/9/21,,,,,,,,,,
2018/9/22,心率变异性及Poincare Plot散点图判断心脏病变的临床应用研究,心率变异性非线性分析(混沌分析)Pioncare Plot(Lorenz散点图)动态心电图,"目的探讨心率变异性(HRV)和非线性分析指标Poincare Plot的正常范围及其对心脏病的判断价值。方法对518例正常人和227例心脏病人进行24h动态心电图监测,计算机处理全部心电信息,计算2h4HRV的各项时域分析和非线性分析的指标,进行统计学分析和比较。结果(1)24h HRV的绝大多数指标呈非正态分布,应用百分位数确定正常值参考范围比较合理并符合临床实际。(2)24h HRV的各项指标受年龄影响较大,随年龄增大而减低,部分指标与性别有关,男性HRV高于女性。(3)心脏病人HRV明显低于正常组,不同心脏病变HRV降低程度有所不同,以心肌病变严重的心肌梗死和扩张性心肌病降低最为明显。(4)非线性分析指标(VIL、VAI、DI)与时域分析指标呈现显著的正相关。(5)正常组90%以上为彗星状Poincare plot,心脏病人大多出现非彗星状图形(80.6士2.6%)。(6)Poincare plot图形改变与年龄有关,与性别无关,随年龄增大,非彗星状图形增多。(7)与SDNN比较,poincare plot散点图的特异度、假阳性率和阳性预测值与SDNN相似,灵敏度、阴性预测值和约登指数均明显增高,假阴性率低,差异有高度显著性。结论:24hHRV能反映心脏病人自主神经功能异常而作为判断催患心脏病以及病变程度的一个指标,Poincare plot具有直观、敏感、特异、准确、简便实用、不受性别影响的特点,更优于SDNN。",安徽医科大学硕士学位论文,2002,今天无意间了解了Poincare Plot 散点图的概念，便搜索到了这篇文章，It turn out to be a useful one。本文对心电的时域、非线性分析指标等做了临床调研，整理了正常人和心脏病人的指标的对比，统计学指标还有poincare plot散点图的形状等都详细地整理在table里了，绝大多数正常人的散点图呈现彗星状；其他包括SDNN正常人的指标范围都罗列出来了，非常有参考价值的一篇文章。,5,,,
2018/9/23,,,,,,,,,,
2018/9/24,,,,,,,,,,
2018/9/25,生物力学中一朵盛开的“野花”评《血液动力学原理和方法》,,,,,血液动力学这本书涵盖了血管力学特性、血液流动分析模型、脉搏波传播规律和反射特性、血管阻抗、心脏力学特性、心脏与血管的耦合以及血液动力学参数等的介绍，值得一看,,,,
,脉搏波波速特征点新算法,脉搏波;上升沿;特征点;算法,"脉搏波波速是评价心血管系统弹性的重要指标。为了简单、精确、准确地从实测的数字信号中提取波速特征点,在此提出了一种提取特征点的新算法。该算法首先识别出动脉波形中最显著的共同点即上升沿部分,然后由上升沿两端的波峰点和波根点,利用插值算法计算出位于上升沿一定高度处的波速参考点。临床初步验证,利用该方法与交叉点法对比,其所计算的两列脉搏波时间差平均误差为0.078s,从而有效稳定地计算脉搏波波速。",现代电子技术ModernElectronicsTechnique,2012,该文提出脉搏波特征点（波峰、波根）的新的识别算法，识别的步骤大致为：1. 计算可以穿过所有上升沿的一个平均值；2. 寻找该点附近的极大极小值（仅限上升沿）；3. 判断这对最大最小值是否为主波波峰、谷；4. 寻找脉搏波波速参考点，为提高准确性，采用上升沿高度的1/5处作为参考点，该点的时间通过线性插值的方法确认（由于脉搏波序列是离散的，这样做可以减少采样率低带来的误差）。该文还定义了离散化误差的计算公式，通过临床分析证明了该识别算法的稳定性和准确性。2019-1-19Update，该文主要介绍脉搏波特征点识别的新算法，提出的研究意义是脉搏波波速计算时需要准确识别特征点；其对算法进行可靠性测试的时候，分别计算脉搏波波速与真实的脉搏波波速的差值，评估误差，对比对象采用交叉点法识别特征点并计算波速；该文的创新点在于可以识别出反射波超出主波的情形；除了上面一点，该文还罗列了三条优点，其中包括算法简单从而对硬件要求低和精度高（用插值算法实现）。该文并没有指出如何判断是否为主波,4,TRUE,,
